App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
CrossingGuardJoe,ColorPaletteMenu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\model\menu\ColorPaletteMenu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\model\menu\ColorPaletteMenuTest.java,model\menu\ColorPaletteMenu.java,model\menu\ColorPaletteMenuTest.java,8,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,CustomizeMenu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\model\menu\CustomizeMenu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\model\menu\CustomizeMenuTest.java,model\menu\CustomizeMenu.java,model\menu\CustomizeMenuTest.java,27,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,GameOverMenu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\model\menu\GameOverMenu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\model\menu\GameOverMenuTest.java,model\menu\GameOverMenu.java,model\menu\GameOverMenuTest.java,12,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,InstructionsMenu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\model\menu\InstructionsMenu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\model\menu\InstructionsMenuTest.java,model\menu\InstructionsMenu.java,model\menu\InstructionsMenuTest.java,6,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,Menu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\model\menu\Menu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\model\menu\MenuTest.java,model\menu\Menu.java,model\menu\MenuTest.java,11,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,PauseMenu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\model\menu\PauseMenu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\model\menu\PauseMenuTest.java,model\menu\PauseMenu.java,model\menu\PauseMenuTest.java,11,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,StatsMenu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\model\menu\StatsMenu.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\model\menu\StatsMenuTest.java,model\menu\StatsMenu.java,model\menu\StatsMenuTest.java,4,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,GameState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\states\GameState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\states\GameStateTest.java,states\GameState.java,states\GameStateTest.java,2,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,State.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\states\State.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\states\StateTest.java,states\State.java,states\StateTest.java,4,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,CustomizeMenuState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\states\menu\CustomizeMenuState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\states\menu\CustomizeMenuStateTest.java,states\menu\CustomizeMenuState.java,states\menu\CustomizeMenuStateTest.java,2,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,GameOverState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\states\menu\GameOverState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\states\menu\GameOverStateTest.java,states\menu\GameOverState.java,states\menu\GameOverStateTest.java,2,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
